000001.SS,^GSPC,^N225,^STOXX,Index
3523.000977,2853.530029,23629.33984,399.7999878,12661.74529
3488.009033,2822.429932,23291.9707,396.1199951,11343.8345
3480.833008,2823.810059,23098.28906,395.4599915,11503.90013
3446.97998,2821.97998,23486.10938,393.4899902,10350.56909
3462.081055,2762.129883,23274.5293,388.0700073,9878.799079
3487.49707,2648.939941,22682.08008,382,7779.219887
3370.6521,2695.139893,21610.24023,372.7900085,8690.908008
3309.26001,2681.659912,21645.36914,380.1300049,8517.288019
3262.050049,2581,21890.85938,374.0299988,9233.630518
3129.851074,2619.550049,21382.61914,368.6099854,9785.622252
3154.125,2656,21382.61914,372.9299927,9957.717874
3184.958984,2662.939941,21244.67969,370.5799866,9604.06564
3199.158936,2698.629883,21154.16992,374.5299988,10632.51501
3199.158936,2731.199951,21464.98047,376.5100098,11329.77702
3199.158936,2732.219971,21720.25,380.6199951,11409.27784
3199.158936,2732.219971,22149.21094,378.2399902,12393.38764
3199.158936,2716.26001,21925.09961,380.5100098,12533.00087
3199.158936,2701.330078,21970.81055,381.1000061,11754.74151
3268.559082,2703.959961,21736.43945,380.3399963,11014.09276
3289.023926,2747.300049,21892.7793,381.1600037,11375.61769
3329.573975,2779.600098,22153.63086,383.0599976,11458.00698
3292.068115,2744.280029,22389.85938,382.3599854,11821.52312
3259.407959,2713.830078,22068.24023,379.6300049,11456.9684
3273.754883,2677.669922,21724.4707,374.8599854,12033.91747
3254.528076,2691.25,21181.64063,367.0400085,12156.75566
3256.926025,2720.939941,21042.08984,370.8699951,12639.04319
3289.64209,2728.120117,21417.75977,371.3699951,11794.2716
3271.667969,2726.800049,21252.7207,372.7099915,10905.00874
3288.406006,2738.969971,21368.07031,376.6199951,10276.82494
3307.166016,2786.570068,21469.19922,378.2399902,10254.3369
3326.698975,2783.02002,21824.0293,379.2000122,10083.91902
3310.239014,2765.310059,21968.09961,375.4899902,10062.2455
3291.38208,2749.47998,21777.28906,374.9400024,9045.844755
3291.112061,2747.330078,21803.94922,376.8800049,9077.245812
3269.88208,2752.01001,21676.50977,377.7099915,9106.06892
3279.251953,2712.919922,21480.90039,373.6799927,9349.097694
3290.639893,2716.939941,21380.9707,375.5700073,9640.058376
3280.951904,2711.929932,21380.9707,374.9599915,9660.72288
3263.47998,2643.689941,21591.99023,369.1499939,9432.466523
3152.760986,2588.26001,20617.85938,365.8200073,9587.669535
3133.721924,2658.550049,20766.09961,363.1799927,8849.111674
3166.648926,2612.620117,21317.32031,367.5700073,8419.432594
3122.290039,2605,21031.31055,369.2600098,8533.017391
3160.531006,2640.870117,21159.08008,370.8699951,7666.774226
3168.896973,2640.870117,21454.30078,370.8699951,7404.197711
3163.178955,2581.879883,21388.58008,370.8699951,7589.960861
3136.633057,2614.449951,21292.28906,369.0700073,8007.94079
3131.111084,2644.689941,21319.55078,367.3299866,7353.240363
3131.111084,2662.840088,21645.41992,376.1300049,7314.268889
3131.111084,2604.469971,21567.51953,374.8200073,7120.17934
3138.293945,2613.159912,21678.25977,375.2999878,7284.710613
3190.322021,2656.870117,21794.32031,378.4200134,7363.777961
3208.082031,2642.189941,21687.09961,376.1799927,7517.676149
3180.157959,2663.98999,21660.2793,378.8200073,8512.12506
3159.052002,2656.300049,21778.74023,379.2000122,8514.631018
3110.648926,2677.840088,21835.5293,377.7399902,8698.818116
3066.797119,2706.389893,21847.58984,380.769989,8538.572368
3091.398926,2708.639893,22158.19922,381.8599854,8828.912548
3117.375977,2693.129883,22191.17969,381.9500122,9009.253703
3071.542969,2670.139893,22162.24023,381.8399963,9617.867761
3068.011963,2670.290039,22088.03906,383.1799927,9726.460713
3128.927002,2634.560059,22278.11914,383.1099854,10572.28872
3117.974121,2639.399902,22215.32031,380.1700134,9606.626279
3075.030029,2666.939941,22319.60938,383.75,10098.78223
3082.231934,2669.909912,22467.86914,384.6400146,9780.72728
3082.231934,2648.050049,22467.86914,385.3200073,10059.83883
3082.231934,2654.800049,22508.0293,385.3200073,9942.019842
3081.177002,2635.669922,22472.7793,387.4400024,10075.58303
3100.858887,2629.72998,22472.7793,384.6199951,10685.79976
3091.032959,2663.419922,22472.7793,387.0299988,10656.11455
3136.64502,2672.629883,22467.16016,389.5100098,10292.52193
3161.498047,2671.919922,22508.68945,390,10148.17552
3159.149902,2697.790039,22408.88086,392.4400024,10235.37281
3174.413086,2723.070068,22497.17969,392.4400024,9921.909873
3163.262939,2727.719971,22758.48047,392.3999939,9258.921208
3174.031982,2730.129883,22865.85938,392.1900024,9595.843401
3192.11792,2711.449951,22818.01953,392.3699951,9359.895018
3169.564941,2722.459961,22717.23047,393.2099915,9215.885337
3154.282959,2720.129883,22838.36914,395.7900085,8900.437913
3193.302979,2712.969971,22930.35938,394.6700134,9082.096123
3213.840088,2733.01001,23002.36914,394.6700134,9253.394418
3214.350098,2724.439941,22960.33984,396.9400024,8818.798213
3168.964111,2733.290039,22689.74023,392.5799866,8261.270412
3154.650879,2727.76001,22437.00977,390.5400085,8312.277363
3141.302979,2721.330078,22450.78906,391.0799866,8186.85965
3135.082031,2721.330078,22481.08984,389.8200073,7764.114878
3120.460938,2689.860107,22358.42969,384.4700012,8158.100292
3041.443115,2724.01001,22018.51953,385.4899902,8084.190021
3095.474121,2705.27002,22201.82031,383.0599976,8190.458926
3075.136963,2734.620117,22171.34961,386.9100037,8241.980236
3091.190918,2746.870117,22475.93945,388.1099854,8227.912721
3114.206055,2748.800049,22539.53906,386.8900146,8365.320399
3115.179932,2772.350098,22625.73047,386.8800049,8382.832588
3109.499023,2770.370117,22823.25977,385.9400024,8405.371138
3067.147949,2779.030029,22694.5,385.1199951,8346.579837
3052.782959,2782,22804.03906,387.9400024,7548.164172
3079.802002,2786.850098,22878.34961,387.5299988,7180.35007
3049.797119,2775.629883,22966.38086,388.25,6921.844424
3044.159912,2782.48999,22738.60938,393.0400085,7296.65844
3021.900879,2779.659912,22851.75,389.1300049,7044.646382
3021.900879,2773.75,22680.33008,385.9100037,7352.904013
2907.822021,2762.590088,22278.48047,383.2099915,7407.122561
2915.730957,2767.320068,22555.42969,384.2900085,7411.198876
2875.810059,2749.76001,22693.03906,380.8500061,7354.404175
2889.76001,2754.879883,22516.83008,385.0100098,6634.908753
2859.335938,2717.070068,22338.15039,377.1700134,6791.638536
2844.508057,2723.060059,22342,377.25,6603.605494
2813.177979,2699.629883,22271.76953,379.9700012,6680.454011
2786.896973,2716.310059,22270.39063,376.8699951,6401.020332
2847.417969,2718.370117,22304.50977,379.9299927,6733.384497
2775.556885,2726.709961,21811.92969,376.75,7175.191542
2786.887939,2713.219971,21785.53906,379.8099976,7079.273327
2759.125977,2713.219971,21717.03906,380.0499878,7150.745047
2733.88208,2736.610107,21546.99023,381.5899963,7197.679541
2747.229004,2759.820068,21788.14063,382.3599854,7231.266124
2815.110107,2784.169922,22052.17969,384.5899963,7299.664791
2827.625,2793.840088,22196.89063,386.25,6840.797669
2777.770996,2774.02002,21932.21094,381.3999939,6920.266082
2837.658936,2798.290039,22187.96094,384.3699951,6736.02444
2831.184082,2801.310059,22597.34961,385.0299988,6749.357892
2814.041992,2798.429932,22597.34961,384.0499878,7307.382568
2798.125977,2809.550049,22697.35938,384.980011,7912.267691
2787.25708,2815.620117,22794.18945,387.0599976,7938.674041
2772.544922,2804.48999,22764.67969,386.1799927,8023.557095
2829.270996,2801.830078,22697.88086,385.6199951,7887.961106
2859.541992,2806.97998,22396.99023,384.8800049,8244.757135
2905.562012,2820.399902,22510.48047,388.1799927,8993.303515
2903.646973,2846.070068,22614.25,387.1700134,8740.581287
2882.225098,2837.439941,22586.86914,390.5299988,8500.061158
2873.593994,2818.820068,22712.75,392.0799866,8719.571731
2869.050049,2802.600098,22544.83984,390.9200134,8720.883234
2876.400879,2816.290039,22553.7207,391.6099854,8294.446478
2824.533936,2813.360107,22746.69922,391.6099854,8123.940945
2768.023926,2827.219971,22512.5293,386.6400146,8056.351227
2740.443115,2840.350098,22525.17969,389.1600037,7930.602631
2705.156982,2850.399902,22507.32031,388.6600037,7432.713116
2779.374023,2858.449951,22662.74023,390.4899902,7201.864792
2744.070068,2857.699951,22644.31055,389.6900024,6725.245002
2794.38208,2853.580078,22598.39063,390.0499878,6998.198429
2795.310059,2833.280029,22298.08008,385.8599854,6578.671039
2785.87207,2821.929932,21857.42969,384.9100037,6641.275223
2780.965088,2839.959961,22356.08008,384.9200134,6533.567938
2723.258057,2818.370117,22204.2207,379.7000122,6645.737021
2705.191895,2840.689941,22192.03906,381.4299927,6678.501446
2668.966064,2850.129883,22270.38086,381.0599976,6958.275001
2698.466064,2857.050049,22199,383.230011,6637.222014
2733.825928,2862.959961,22219.73047,384.1499939,6827.460897
2714.60791,2861.820068,22362.55078,384.019989,6703.774345
2724.624023,2856.97998,22410.82031,383.3800049,6869.940762
2729.430908,2874.689941,22601.76953,383.5599976,7061.287774
